bin_i	bin_j	mean_r2	n_pairs
1:17410001-17420000	1:19710001-19720000	0.00284675	32928
1:17620001-17630000	1:20890001-20900000	0.00383467	205110
1:19740001-19750000	1:21200001-21210000	0.00198331	25774
1:18620001-18630000	1:18660001-18670000	0.0233652	11700
1:17590001-17600000	1:19420001-19430000	0.00208558	2405
1:17450001-17460000	1:18510001-18520000	0.00206882	20792
1:19600001-19610000	1:21100001-21110000	0.00156032	152
1:19110001-19120000	1:21130001-21140000	0.00264038	22496
1:21060001-21070000	1:21140001-21150000	0.00414553	12403
1:19870001-19880000	1:20720001-20730000	0.00341307	42823
1:19380001-19390000	1:20750001-20760000	0.0035935	80535
1:19350001-19360000	1:21290001-21300000	0.00201792	46812
1:20280001-20290000	1:21000001-21010000	0.00369731	106912
1:19240001-19250000	1:20650001-20660000	0.0013591	5967
1:17340001-17350000	1:17970001-17980000	0.00532395	81972
1:18460001-18470000	1:20510001-20520000	0.00184589	5934
1:17830001-17840000	1:17940001-17950000	0.00542748	560
1:18880001-18890000	1:19500001-19510000	0.0091919	5424
1:17390001-17400000	1:18160001-18170000	0.0111133	9176
1:19520001-19530000	1:19540001-19550000	0.00670856	15088
1:19030001-19040000	1:19570001-19580000	0.00422953	46190
1:17950001-17960000	1:21230001-21240000	0.00182078	1460
1:18320001-18330000	1:20410001-20420000	0.00140403	1768
1:18740001-18750000	1:19400001-19410000	0.0215327	126755
1:17460001-17470000	1:21260001-21270000	0.00245373	10730
1:20170001-20180000	1:20460001-20470000	0.00408856	81840
1:17810001-17820000	1:21130001-21140000	0.002269	34632
1:18110001-18120000	1:19330001-19340000	0.00512846	38250
1:18600001-18610000	1:19300001-19310000	0.00194106	1632
1:17320001-17330000	1:21160001-21170000	0.00231023	18404
1:20030001-20040000	1:20360001-20370000	0.0026564	135109
1:18350001-18360000	1:19490001-19500000	0.0069783	132
1:18870001-18880000	1:18920001-18930000	0.00138047	1725
1:18890001-18900000	1:20130001-20140000	0.00424072	98549
1:18140001-18150000	1:18990001-19000000	0.00408792	6873
1:17870001-17880000	1:19670001-19680000	0.00751828	208754
1:18240001-18250000	1:18850001-18860000	0.0256064	1539
1:17460001-17470000	1:18710001-18720000	0.00546493	7918
1:19610001-19620000	1:21300001-21310000	0.00161432	1332
1:17730001-17740000	1:19570001-19580000	0.00214909	80600
1:18100001-18110000	1:18750001-18760000	0.0146573	11880
1:19880001-19890000	1:20920001-20930000	0.00307453	58740
1:17320001-17330000	1:18610001-18620000	0.00207121	19436
1:19740001-19750000	1:20820001-20830000	0.0014319	65072
1:19280001-19290000	1:19830001-19840000	0.00619482	6420
1:19250001-19260000	1:20850001-20860000	0.00139624	1612
1:19160001-19170000	1:20130001-20140000	0.00563154	21505
1:20150001-20160000	1:21100001-21110000	0.00167681	1634
1:18470001-18480000	1:20710001-20720000	0.00145776	1105
1:19900001-19910000	1:20010001-20020000	0.00853437	54841
1:19530001-19540000	1:19740001-19750000	0.00173639	33418
1:19020001-19030000	1:20030001-20040000	0.00323613	56563
1:19110001-19120000	1:20750001-20760000	0.0032859	41496
1:20010001-20020000	1:21000001-21010000	0.00224678	35984
1:18380001-18390000	1:20090001-20100000	0.00177661	20680
1:18610001-18620000	1:19500001-19510000	0.00190619	12769
1:20530001-20540000	1:20530001-20540000	0.0841861	18336
1:18360001-18370000	1:19690001-19700000	0.00698653	1165
1:17850001-17860000	1:20990001-21000000	0.0021003	627
1:17880001-17890000	1:19870001-19880000	0.0067427	88852
1:18790001-18800000	1:19210001-19220000	0.00202601	10120
1:17760001-17770000	1:20170001-20180000	0.00191875	17820
1:17460001-17470000	1:20880001-20890000	0.00430948	7992
1:18220001-18230000	1:19590001-19600000	0.00734809	41356
1:17470001-17480000	1:18910001-18920000	0.00121031	444
1:17650001-17660000	1:19050001-19060000	0.0084531	2128
1:17740001-17750000	1:19770001-19780000	0.00543293	26058
1:18020001-18030000	1:18230001-18240000	0.0196604	2204
1:17620001-17630000	1:20070001-20080000	0.00343134	3339
1:18600001-18610000	1:18920001-18930000	0.00168704	2346
1:17330001-17340000	1:18810001-18820000	0.00314649	232965
1:17600001-17610000	1:19670001-19680000	0.00210659	35588
1:19170001-19180000	1:20330001-20340000	0.00300566	10089
1:20160001-20170000	1:21300001-21310000	0.00352863	29082
1:19930001-19940000	1:21160001-21170000	0.00248296	10807
1:19610001-19620000	1:20920001-20930000	0.0018336	3204
1:19520001-19530000	1:20200001-20210000	0.00214881	24108
1:19150001-19160000	1:19930001-19940000	0.0090127	30401
1:19120001-19130000	1:20950001-20960000	0.00549944	54750
1:19060001-19070000	1:19210001-19220000	0.00202341	6880
1:18660001-18670000	1:21050001-21060000	0.00336412	211250
1:19030001-19040000	1:20230001-20240000	0.00161984	18774
1:20020001-20030000	1:21200001-21210000	0.00367365	34716
1:19010001-19020000	1:19830001-19840000	0.00640226	89880
1:18200001-18210000	1:20710001-20720000	0.00186571	780
1:20150001-20160000	1:20720001-20730000	0.00257908	16082
1:18370001-18380000	1:19890001-19900000	0.000839045	338
1:17890001-17900000	1:17950001-17960000	0.0106378	570
1:20780001-20790000	1:20890001-20900000	0.00550407	63210
1:20400001-20410000	1:20630001-20640000	0.00462302	50225
1:18110001-18120000	1:20090001-20100000	0.00303504	63920
1:18170001-18180000	1:18530001-18540000	0.00597194	3080
1:17380001-17390000	1:20360001-20370000	0.00157355	55247
1:20640001-20650000	1:20790001-20800000	0.00470896	117561
1:18930001-18940000	1:19360001-19370000	0.00674578	20894
1:18900001-18910000	1:20380001-20390000	0.00162003	36366
1:17660001-17670000	1:19250001-19260000	0.00275674	34720
1:17750001-17760000	1:19970001-19980000	0.00222407	495
1:18030001-18040000	1:18430001-18440000	0.00134765	1260
1:17330001-17340000	1:20980001-20990000	0.00339158	132990
1:20090001-20100000	1:20370001-20380000	0.00482114	142880
1:17520001-17530000	1:19150001-19160000	0.00499852	73444
1:17610001-17620000	1:19870001-19880000	0.00360264	44426
1:19670001-19680000	1:20500001-20510000	0.00540191	135408
1:17380001-17390000	1:17810001-17820000	0.00149346	23634
1:19530001-19540000	1:20400001-20410000	0.00270091	97867
1:19070001-19080000	1:19410001-19420000	0.00601005	29328
1:19040001-19050000	1:20430001-20440000	0.00346603	7098
1:17790001-17800000	1:19580001-19590000	0.0042108	58116
1:19800001-19810000	1:21260001-21270000	0.00241429	41180
1:19280001-19290000	1:20590001-20600000	0.00242774	1710
1:17630001-17640000	1:17720001-17730000	0.00614797	66024
1:18530001-18540000	1:21150001-21160000	0.00167863	19320
1:17900001-17910000	1:18580001-18590000	0.00446389	40299
1:20480001-20490000	1:21160001-21170000	0.00340148	11984
1:17360001-17370000	1:21000001-21010000	0.003462	66976
1:20160001-20170000	1:20920001-20930000	0.00330737	69954
1:20070001-20080000	1:20200001-20210000	0.00472782	2058
1:20730001-20740000	1:21070001-21080000	0.00316766	13392
1:18660001-18670000	1:20670001-20680000	0.00314672	108550
1:20020001-20030000	1:20820001-20830000	0.00245052	87648
1:18670001-18680000	1:18700001-18710000	0.0384504	181068
1:18390001-18400000	1:20620001-20630000	0.00179339	2032
1:17880001-17890000	1:20530001-20540000	0.00317527	74496
1:18910001-18920000	1:20580001-20590000	0.00172608	5640
1:18940001-18950000	1:19560001-19570000	0.00182632	9638
1:18530001-18540000	1:18600001-18610000	0.0016445	1904
1:18100001-18110000	1:19890001-19900000	0.00592468	18252
1:17740001-17750000	1:20430001-20440000	0.00245256	20124
1:20510001-20520000	1:20890001-20900000	0.00436336	36980
1:18800001-18810000	1:19460001-19470000	0.00165419	1460
1:17530001-17540000	1:19350001-19360000	0.00520964	160854
1:18140001-18150000	1:18690001-18700000	0.00972842	6090
1:19540001-19550000	1:20600001-20610000	0.00186276	1104
1:17660001-17670000	1:18870001-18880000	0.00202965	7000
1:19080001-19090000	1:19610001-19620000	0.00385373	522
1:17960001-17970000	1:18160001-18170000	0.0528251	5518
1:19400001-19410000	1:20500001-20510000	0.0026319	78312
1:17820001-17830000	1:18060001-18070000	0.0182172	16954
1:19150001-19160000	1:20690001-20700000	0.00560956	10535
1:20080001-20090000	1:20400001-20410000	0.00431362	121688
1:18010001-18020000	1:21240001-21250000	0.00352592	59187
1:20350001-20360000	1:21260001-21270000	0.00292293	37700
1:19010001-19020000	1:20590001-20600000	0.00362814	23940
1:19090001-19100000	1:20240001-20250000	0.002497	19920
1:18580001-18590000	1:20150001-20160000	0.00153838	11438
1:18670001-18680000	1:20870001-20880000	0.00365385	99540
1:20210001-20220000	1:21160001-21170000	0.00264629	28783
1:18070001-18080000	1:19780001-19790000	0.00459158	29064
1:18440001-18450000	1:20050001-20060000	0.00149162	950
1:18530001-18540000	1:20770001-20780000	0.00134497	1344
1:17750001-17760000	1:20630001-20640000	0.00135407	1575
1:18810001-18820000	1:19660001-19670000	0.00690814	212925
1:17610001-17620000	1:20530001-20540000	0.00238443	37248
1:18400001-18410000	1:18700001-18710000	0.00191009	27886
1:18150001-18160000	1:18890001-18900000	0.0120703	61659
1:19480001-19490000	1:21030001-21040000	0.0017981	64640
1:18010001-18020000	1:18790001-18800000	0.0301238	45793
1:17440001-17450000	1:18250001-18260000	0.00183049	7704
1:17530001-17540000	1:18970001-18980000	0.00506516	126616
1:19160001-19170000	1:20890001-20900000	0.00530632	49450
1:19860001-19870000	1:20460001-20470000	0.00230545	7192
1:19590001-19600000	1:20410001-20420000	0.00397092	93262
1:19020001-19030000	1:20790001-20800000	0.00238327	102363
1:18480001-18490000	1:19230001-19240000	0.00128964	2640
1:18570001-18580000	1:19950001-19960000	0.00285624	2100
1:18590001-18600000	1:21160001-21170000	0.00303594	8560
1:18450001-18460000	1:20250001-20260000	0.00172805	6608
1:18540001-18550000	1:20970001-20980000	0.00144581	3376
1:18940001-18950000	1:20220001-20230000	0.00116468	474
1:18080001-18090000	1:19980001-19990000	0.00267739	12005
1:17670001-17680000	1:20110001-20120000	0.00709957	16500
1:17760001-17770000	1:20830001-20840000	0.0017036	16470
1:17790001-17800000	1:17790001-17800000	0.113725	15051
1:18310001-18320000	1:20150001-20160000	0.00145987	86
1:18400001-18410000	1:20870001-20880000	0.00185759	15330
1:18730001-18740000	1:19140001-19150000	0.0162307	212219
1:20790001-20800000	1:21080001-21090000	0.00602504	79119
1:17650001-17660000	1:19710001-19720000	0.00528185	9408
1:17530001-17540000	1:20010001-20020000	0.00352069	55879
1:17620001-17630000	1:20730001-20740000	0.00264907	51516
1:19980001-19990000	1:21200001-21210000	0.00180561	12887
1:17510001-17520000	1:19610001-19620000	0.00190662	7560
1:18590001-18600000	1:18610001-18620000	0.00669007	9040
1:17560001-17570000	1:19090001-19100000	0.00316537	13200
1:19350001-19360000	1:21130001-21140000	0.00263484	73704
1:18080001-18090000	1:21020001-21030000	0.0051071	82565
1:17450001-17460000	1:18450001-18460000	0.00329833	25312
1:19600001-19610000	1:21040001-21050000	0.00187347	1192
1:21060001-21070000	1:21080001-21090000	0.017256	27789
1:19870001-19880000	1:20660001-20670000	0.00273314	109004
1:17310001-17320000	1:18350001-18360000	0.00450514	1479
1:18570001-18580000	1:21090001-21100000	0.00174353	625
1:17970001-17980000	1:17980001-17990000	0.0778743	24564
1:19730001-19740000	1:20560001-20570000	0.00385979	101712
1:18460001-18470000	1:20450001-20460000	0.00219663	14835
1:18980001-18990000	1:19400001-19410000	0.0160592	71033
1:17830001-17840000	1:17880001-17890000	0.0037966	776
1:19130001-19140000	1:19470001-19480000	0.00285399	19125
1:18350001-18360000	1:19330001-19340000	0.0113103	675
1:17950001-17960000	1:21170001-21180000	0.00122501	3560
1:18320001-18330000	1:20350001-20360000	0.00176572	2080
1:18810001-18820000	1:20320001-20330000	0.00239362	152304
1:19490001-19500000	1:19590001-19600000	0.0097274	18568
1:17660001-17670000	1:19910001-19920000	0.00344653	29960
1:17540001-17550000	1:20210001-20220000	0.00239557	13988
1:18380001-18390000	1:18990001-19000000	0.00308007	13035
1:18210001-18220000	1:19230001-19240000	0.00257279	9416
1:18300001-18310000	1:19950001-19960000	0.0077142	588
1:17810001-17820000	1:21070001-21080000	0.00187802	29016
1:20220001-20230000	1:20980001-20990000	0.00145848	1716
1:18590001-18600000	1:20780001-20790000	0.00362175	11760
1:17520001-17530000	1:19810001-19820000	0.00302649	51240
1:17400001-17410000	1:20110001-20120000	0.00358323	31860
1:18730001-18740000	1:18760001-18770000	0.0527563	129220
1:17460001-17470000	1:18650001-18660000	0.00288475	13246
1:17950001-17960000	1:18620001-18630000	0.00239789	360
1:17430001-17440000	1:19190001-19200000	0.00185719	156009
1:19220001-19230000	1:21230001-21240000	0.00173067	292
1:19880001-19890000	1:20860001-20870000	0.00238369	36630
1:17320001-17330000	1:18550001-18560000	0.00326406	27520
1:17810001-17820000	1:18520001-18530000	0.00290707	2106
1:20780001-20790000	1:21110001-21120000	0.00461038	27783
1:19740001-19750000	1:20760001-20770000	0.00171972	24304
1:19650001-19660000	1:20040001-20050000	0.00371858	105300
1:19280001-19290000	1:19770001-19780000	0.0075931	1515
1:19160001-19170000	1:20070001-20080000	0.00439645	805
1:20640001-20650000	1:21010001-21020000	0.00557665	46814
1:18960001-18970000	1:20620001-20630000	0.00254113	65024
1:17590001-17600000	1:18980001-18990000	0.00658536	18395
1:18080001-18090000	1:20640001-20650000	0.0112464	64435
1:19630001-19640000	1:19640001-19650000	0.075339	169638
1:19600001-19610000	1:20660001-20670000	0.00144687	3808
1:19140001-19150000	1:19670001-19680000	0.0108794	185318
1:18850001-18860000	1:19500001-19510000	0.0109786	3051
1:17700001-17710000	1:17980001-17990000	0.0152077	3916
1:18300001-18310000	1:21090001-21100000	0.00179851	175
1:18360001-18370000	1:19530001-19540000	0.00369947	1705
1:20280001-20290000	1:20560001-20570000	0.00286178	251346
1:19000001-19010000	1:19570001-19580000	0.00529147	63240
1:17820001-17830000	1:21270001-21280000	0.00311592	20241
1:18710001-18720000	1:19400001-19410000	0.0198855	26857
1:18220001-18230000	1:19430001-19440000	0.00247889	1274
1:20140001-20150000	1:20460001-20470000	0.00335925	20584
1:18490001-18500000	1:19860001-19870000	0.00155278	2871
1:17860001-17870000	1:20070001-20080000	0.0018411	1253
1:18790001-18800000	1:19150001-19160000	0.0158139	76153
1:18740001-18750000	1:18960001-18970000	0.0187031	64640
1:17870001-17880000	1:18100001-18110000	0.0127858	25974
1:17590001-17600000	1:20020001-20030000	0.00418226	8580
1:18110001-18120000	1:18990001-19000000	0.0071042	40290
1:18020001-18030000	1:18170001-18180000	0.0528569	2090
1:17730001-17740000	1:18000001-18010000	0.0103143	59800
1:17820001-17830000	1:18720001-18730000	0.0265274	9169
1:17480001-17490000	1:18190001-18200000	0.0164311	7900
1:19780001-19790000	1:19940001-19950000	0.0111167	57955
1:19660001-19670000	1:20240001-20250000	0.00391683	70550
1:19360001-19370000	1:20950001-20960000	0.00414688	84250
1:20260001-20270000	1:21200001-21210000	0.00197852	81530
1:19120001-19130000	1:20990001-21000000	0.00338097	2409
1:19090001-19100000	1:20900001-20910000	0.00276115	1320
1:18580001-18590000	1:20810001-20820000	0.00193305	34314
1:19640001-19650000	1:19840001-19850000	0.0249069	4410
1:19610001-19620000	1:20860001-20870000	0.00196353	1998
1:19520001-19530000	1:20140001-20150000	0.00209538	6806
1:19150001-19160000	1:19870001-19880000	0.0107553	68929
1:19060001-19070000	1:19150001-19160000	0.0202488	51772
1:20510001-20520000	1:21110001-21120000	0.00287129	16254
1:18440001-18450000	1:20710001-20720000	0.00146263	1235
1:18740001-18750000	1:20000001-20010000	0.00766067	276740
1:19500001-19510000	1:19740001-19750000	0.0024715	11074
1:19010001-19020000	1:19770001-19780000	0.0134903	21210
1:18230001-18240000	1:19630001-19640000	0.00348634	33466
1:18720001-18730000	1:19600001-19610000	0.00189369	424
1:17890001-17900000	1:17990001-18000000	0.00170393	228
1:20150001-20160000	1:20660001-20670000	0.00249751	40936
1:18350001-18360000	1:20090001-20100000	0.0040286	1128
1:19190001-19200000	1:19480001-19490000	0.00241173	201495
1:20010001-20020000	1:20560001-20570000	0.00456555	84597
1:17870001-17880000	1:20270001-20280000	0.0031544	93795
1:17850001-17860000	1:19870001-19880000	0.00293433	13053
1:17730001-17740000	1:20170001-20180000	0.00369396	85800
1:17740001-17750000	1:18200001-18210000	0.00908609	15480
1:17490001-17500000	1:19100001-19110000	0.00418677	4305
1:17440001-17450000	1:18910001-18920000	0.0013468	2568
1:19280001-19290000	1:20430001-20440000	0.00315104	1170
1:17600001-17610000	1:18100001-18110000	0.00160299	4428
1:17380001-17390000	1:17750001-17760000	0.00128641	909
1:19140001-19150000	1:20330001-20340000	0.00335263	25193
1:18770001-18780000	1:21150001-21160000	0.00292887	51060
1:17750001-17760000	1:19990001-20000000	0.00190837	792
1:20130001-20140000	1:21300001-21310000	0.00253188	13838
1:18450001-18460000	1:20910001-20920000	0.00252666	18144
1:19510001-19520000	1:19940001-19950000	0.00578099	35510
1:18140001-18150000	1:21080001-21090000	0.00383247	5133
1:20970001-20980000	1:21070001-21080000	0.00844294	52328
1:18730001-18740000	1:19800001-19810000	0.0104341	141148
1:18310001-18320000	1:20810001-20820000	0.00107726	258
1:20650001-20660000	1:20830001-20840000	0.00432107	46665
1:20160001-20170000	1:20860001-20870000	0.00252535	43623
1:20070001-20080000	1:20140001-20150000	0.0188801	581
1:18360001-18370000	1:20290001-20300000	0.00236046	1635
1:18010001-18020000	1:19010001-19020000	0.0178848	38010
1:20990001-21000000	1:21100001-21110000	0.00242511	209
1:20510001-20520000	1:20730001-20740000	0.00280301	9288
1:20020001-20030000	1:20760001-20770000	0.00349083	32736
1:17880001-17890000	1:20470001-20480000	0.0020543	127652
1:18340001-18350000	1:19890001-19900000	0.00122786	676
1:18220001-18230000	1:20190001-20200000	0.00608944	9016
1:18140001-18150000	1:18530001-18540000	0.00203193	1624
1:17740001-17750000	1:20370001-20380000	0.00255399	98040
1:17490001-17500000	1:21270001-21280000	0.00325562	1755
1:19990001-20000000	1:20520001-20530000	0.00310506	10824
1:17720001-17730000	1:19970001-19980000	0.00391453	28820
1:17600001-17610000	1:20270001-20280000	0.00157034	15990
1:19780001-19790000	1:20600001-20610000	0.00171061	1038
